episode,length,total_reward,J15_reward,J16_reward,J17_reward,J18_reward
594540215695348724,200,-4.410000000000003,-0.030000000000000096,-1.31,-2.48,-0.59
872414212347512530,200,-1.420000000000003,2.220446049250313e-16,-1.3299999999999996,-0.03,-0.05999999999999969
610712581694169016,200,-0.8899999999999961,-0.52,-0.28000000000000014,-0.06999999999999992,-0.02
525279811356171257,200,-0.9699999999999955,-0.08999999999999955,-0.049999999999999864,-0.83,1.942890293094024e-16
40307014507568295,200,-1.2900000000000094,1.249000902703301e-16,-0.009999999999999974,-1.16,-0.12000000000000022
894175910386598460,200,-1.1900000000000042,-0.5800000000000004,-0.43,-0.15,-0.03000000000000011
915546633763930580,200,-1.0599999999999992,-0.009999999999999995,-0.1,-2.7755575615628914e-17,-0.9499999999999995
710116421888224827,200,-1.3099999999999998,2.7755575615628914e-16,-0.45,-0.16999999999999998,-0.69
396303937538896041,200,-0.5800000000000004,-0.19000000000000022,-0.11999999999999965,-0.13,-0.14
364117901287915850,200,-0.17000000000000226,-0.09000000000000033,-0.010000000000000009,-0.06999999999999976,0.0
676143486106166790,200,-1.309999999999996,-0.32,-0.03,-0.7100000000000001,-0.2499999999999999
17040178890339014,200,-1.520000000000004,-0.5099999999999997,-0.87,-0.08999999999999977,-0.04999999999999978
106625124074183794,200,-0.8799999999999951,1.1102230246251565e-16,-0.41,-0.08,-0.39
907050125442052402,200,-0.539999999999999,-0.010000000000000502,-0.009999999999999995,-0.43,-0.09
271672022512731481,200,-3.680000000000004,-0.30000000000000043,-2.4499999999999997,-0.08000000000000002,-0.8500000000000001
349256957461742040,200,-0.7300000000000003,-0.06000000000000055,-0.47,-0.04,-0.16
846737968449361132,200,-1.6700000000000013,4.718447854656915e-16,-1.35,-0.05000000000000035,-0.27
202861109727164087,200,-1.5200000000000027,-0.69,-0.15,-0.07000000000000003,-0.61
911270129289905876,200,-1.6100000000000019,-0.20000000000000007,-1.1800000000000002,-0.08000000000000008,-0.1500000000000001
520123093644584230,200,-0.559999999999998,-0.06000000000000019,-0.06,-0.03000000000000011,-0.40999999999999975
798775429909909542,200,-0.6199999999999959,-0.0699999999999999,-0.43000000000000005,-2.498001805406602e-16,-0.12000000000000005
949123671457339870,200,-0.8700000000000037,-0.01,-0.060000000000000026,-0.10999999999999999,-0.6900000000000003
523338539668936751,200,-2.000000000000004,0.0,-1.0299999999999998,-0.03,-0.94
653002049607519442,200,-1.6100000000000017,-0.78,-0.48999999999999977,-0.34,4.718447854656915e-16
75481876259400880,200,-0.650000000000003,-0.03000000000000011,-0.26,-0.16,-0.2
772055608628989207,200,-0.6599999999999971,-0.10999999999999989,-0.07999999999999999,-0.37999999999999967,-0.08999999999999997
484156461111842522,200,-1.0800000000000003,9.35015953551499e-16,-0.5999999999999998,-0.47999999999999987,1.1102230246251565e-16
768483850755764709,200,-1.0800000000000012,2.220446049250313e-16,-0.24999999999999997,-0.14999999999999997,-0.68
490962544473604771,200,-0.42999999999999833,-0.059999999999999665,-0.32,-0.05,0.0
610525854524779197,200,-1.2199999999999986,-0.02999999999999952,-0.91,-0.07999999999999989,-0.20000000000000012
785933742758382947,200,-1.879999999999999,-1.61,-0.020000000000000004,-0.12999999999999995,-0.11999999999999976
604050918915095428,200,-0.9900000000000014,-0.30000000000000004,-0.11000000000000042,-0.09999999999999998,-0.47999999999999987
236657965994762028,200,-1.4600000000000022,-0.15000000000000013,-0.34,-0.5799999999999997,-0.3900000000000001
845515487601900455,200,-0.24000000000000274,-0.030000000000000054,-0.12,-0.030000000000000054,-0.059999999999999984
81183189159631205,200,-1.6400000000000006,0.0,-1.0299999999999998,-0.25,-0.36
594413040674521101,200,-0.5300000000000007,-0.22999999999999995,-0.07999999999999985,-0.19,-0.02999999999999972
855334009184145239,200,-1.629999999999999,-0.14,-1.15,0.0,-0.34
705571387349811834,200,-0.32999999999999985,-0.030000000000000193,2.220446049250313e-16,-0.07999999999999999,-0.21999999999999978
139646607244119081,200,-2.5000000000000044,-2.41,0.0,-0.05999999999999999,-0.03
874148178204844615,200,-0.36000000000000104,-0.029999999999999333,-0.2999999999999999,2.7755575615628914e-17,-0.03000000000000004
805652847452618066,200,-0.280000000000001,-0.15999999999999995,-0.08999999999999997,-0.029999999999999943,2.220446049250313e-16
865123948382233925,200,-0.42999999999999816,-0.14999999999999988,-0.1400000000000005,-0.039999999999999945,-0.1
371624646788802638,200,-0.2500000000000019,-0.030000000000000006,-0.07999999999999984,-0.0800000000000001,-0.06000000000000011
493772471646756708,200,-1.3899999999999988,-1.2,-0.059999999999999776,-0.10000000000000003,-0.030000000000000138
326794199510327815,200,-0.5199999999999982,-0.10999999999999999,-0.1,-0.06999999999999998,-0.24
484368606545069312,200,-0.450000000000001,-0.03,-0.1499999999999997,-0.09999999999999998,-0.16999999999999993
372829530311962425,200,-0.8400000000000017,0.0,-0.17999999999999988,-0.14,-0.5200000000000001
